Number,Verse
373,"Luke 17:20-35 “The coming of the kingdom of God is not something that can be observed, 21 nor will people say, ‘Here it is,’ or ‘There it is,’ because the kingdom of God is in your midst. The time is coming when you will long to see one of the days of the Son of Man, but you will not see it. 23 People will tell you, ‘There he is!’ or ‘Here he is!’ Do not go running off after them. 24 For the Son of Man in his day will be like the lightning, which flashes and lights up the sky from one end to the other. 25 But first he must suffer many things and be rejected by this generation. 26 “Just as it was in the days of Noah, so also will it be in the days of the Son of Man. 27 People were eating, drinking, marrying and being given in marriage up to the day Noah entered the ark. Then the flood came and destroyed them all. 28 “It was the same in the days of Lot. People were eating and drinking, buying and selling, planting and building. 29 But the day Lot left Sodom, fire and sulfur rained down from heaven and destroyed them all. 30 “It will be just like this on the day the Son of Man is revealed. 31 On that day no one who is on the housetop, with possessions inside, should go down to get them. Likewise, no one in the field should go back for anything. 32 Remember Lot’s wife! 33 Whoever tries to keep their life will lose it, and whoever loses their life will preserve it. 34 I tell you, on that night two people will be in one bed; one will be taken and the other left. 35 Two women will be grinding grain together; one will be taken and the other left.”"
374,"Luke 17:37 “Where there is a dead body, there the vultures will gather.”"
375,"Luke 18:2-8 “In a certain town there was a judge who neither feared God nor cared what people thought. 3 And there was a widow in that town who kept coming to him with the plea, ‘Grant me justice against my adversary.’ 4 “For some time he refused. But finally he said to himself, ‘Even though I don’t fear God or care what people think, 5 yet because this widow keeps bothering me, I will see that she gets justice, so that she won’t eventually come and attack me!’” 6 And the Lord said, “Listen to what the unjust judge says. 7 And will not God bring about justice for his chosen ones, who cry out to him day and night? Will he keep putting them off? 8 I tell you, he will see that they get justice, and quickly. However, when the Son of Man comes, will he find faith on the earth?”"
376,"Luke 18:10-14 10 “Two men went up to the temple to pray, one a Pharisee and the other a tax collector. 11 The Pharisee stood by himself and prayed: ‘God, I thank you that I am not like other people—robbers, evildoers, adulterers—or even like this tax collector. 12 I fast twice a week and give a tenth of all I get.’ 13 “But the tax collector stood at a distance. He would not even look up to heaven, but beat his breast and said, ‘God, have mercy on me, a sinner.’ 14 “I tell you that this man, rather than the other, went home justified before God. For all those who exalt themselves will be humbled, and those who humble themselves will be exalted.”"
377,"Luke 18:16-17 “Let the little children come to me, and do not hinder them, for the kingdom of God belongs to such as these. 17 Truly I tell you, anyone who will not receive the kingdom of God like a little child will never enter it.”"
378,"Luke 18:19-20 19 “Why do you call me good?” Jesus answered. “No one is good—except God alone. 20 You know the commandments: ‘You shall not commit adultery, you shall not murder, you shall not steal, you shall not give false testimony, honor your father and mother.’”"
379,"Luke 18:22 “You still lack one thing. Sell everything you have and give to the poor, and you will have treasure in heaven. Then come, follow me.”"
380,"Luke 18:24-25 “How hard it is for the rich to enter the kingdom of God! 25 Indeed, it is easier for a camel to go through the eye of a needle than for someone who is rich to enter the kingdom of God.”"
381,Luke 18:27 “What is impossible with man is possible with God.”
382,"Luke 18:29-30 29 “Truly I tell you, no one who has left home or wife or brothers or sisters or parents or children for the sake of the kingdom of God 30 will fail to receive many times as much in this age, and in the age to come eternal life.”"
383,"Luke 18:31-33 “We are going up to Jerusalem, and everything that is written by the prophets about the Son of Man will be fulfilled. 32 He will be delivered over to the Gentiles. They will mock him, insult him and spit on him; 33 they will flog him and kill him. On the third day he will rise again.”"
384,Luke 18:41 41 “What do you want me to do for you?”
385,Luke 18:42 “Receive your sight; your faith has healed you.”
386,"Luke 19:5 “Zacchaeus, come down immediately. I must stay at your house today.”"
387,"Luke 19:9-10 “Today salvation has come to this house, because this man, too, is a son of Abraham. 10 For the Son of Man came to seek and to save the lost.”"
388,"Luke 19:12-27 “A man of noble birth went to a distant country to have himself appointed king and then to return. 13 So he called ten of his servants and gave them ten minas. ‘Put this money to work,’ he said, ‘until I come back.’ 14 “But his subjects hated him and sent a delegation after him to say, ‘We don’t want this man to be our king.’ 15 “He was made king, however, and returned home. Then he sent for the servants to whom he had given the money, in order to find out what they had gained with it. 16 “The first one came and said, ‘Sir, your mina has earned ten more.’ 17 “‘Well done, my good servant!’ his master replied. ‘Because you have been trustworthy in a very small matter, take charge of ten cities.’ 18 “The second came and said, ‘Sir, your mina has earned five more.’ 19 “His master answered, ‘You take charge of five cities.’ 20 “Then another servant came and said, ‘Sir, here is your mina; I have kept it laid away in a piece of cloth. 21 I was afraid of you, because you are a hard man. You take out what you did not put in and reap what you did not sow.’ 22 “His master replied, ‘I will judge you by your own words, you wicked servant! You knew, did you, that I am a hard man, taking out what I did not put in, and reaping what I did not sow? 23 Why then didn’t you put my money on deposit, so that when I came back, I could have collected it with interest?’ 24 “Then he said to those standing by, ‘Take his mina away from him and give it to the one who has ten minas.’ 25 “‘Sir,’ they said, ‘he already has ten!’ 26 “He replied, ‘I tell you that to everyone who has, more will be given, but as for the one who has nothing, even what they have will be taken away. 27 But those enemies of mine who did not want me to be king over them—bring them here and kill them in front of me.’”"
